date;confirmed;deaths;recovered;% of confirmed;% of Deaths;% of recovered
22.1.2020;555;17;28;#VALUE!;#VALUE!;#VALUE!
23.1.2020;653;18;30;18%;6%;7%
24.1.2020;941;26;36;44%;44%;20%
25.1.2020;1438;42;39;53%;62%;8%
26.1.2020;2118;56;52;47%;33%;33%
27.1.2020;2927;82;61;38%;46%;17%
28.1.2020;5578;131;107;91%;60%;75%
29.1.2020;6165;133;126;11%;2%;18%
30.1.2020;8235;171;143;34%;29%;13%
31.1.2020;9925;213;222;21%;25%;55%
1.2.2020;12038;259;284;21%;22%;28%
2.2.2020;16787;362;472;39%;40%;66%
3.2.2020;19881;426;623;18%;18%;32%
4.2.2020;23892;492;852;20%;15%;37%
5.2.2020;27636;564;1124;16%;15%;32%
6.2.2020;30818;634;1487;12%;12%;32%
7.2.2020;34392;719;2011;12%;13%;35%
8.2.2020;37121;806;2616;8%;12%;30%
9.2.2020;40151;906;3244;8%;12%;24%
10.2.2020;42763;1013;3946;7%;12%;22%
11.2.2020;44803;1113;4683;5%;10%;19%
12.2.2020;45222;1118;5150;1%;0%;10%
13.2.2020;60370;1371;6295;33%;23%;22%
14.2.2020;66887;1523;8058;11%;11%;28%
15.2.2020;69032;1666;9395;3%;9%;17%
16.2.2020;71226;1770;10865;3%;6%;16%
17.2.2020;73260;1868;12583;3%;6%;16%
18.2.2020;75138;2007;14352;3%;7%;14%
19.2.2020;75641;2122;16121;1%;6%;12%
20.2.2020;76199;2247;18177;1%;6%;13%
21.2.2020;76843;2251;18890;1%;0%;4%
22.2.2020;78599;2458;22886;2%;9%;21%
23.2.2020;78985;2469;23394;0%;0%;2%
24.2.2020;79570;2629;25227;1%;6%;8%
25.2.2020;80415;2708;27905;1%;3%;11%
26.2.2020;81397;2770;30384;1%;2%;9%
27.2.2020;82756;2814;33277;2%;2%;10%
28.2.2020;84124;2872;36711;2%;2%;10%
29.2.2020;86013;2941;39782;2%;2%;8%
1.3.2020;88371;2996;42716;3%;2%;7%
2.3.2020;90309;3085;45602;2%;3%;7%
3.3.2020;92844;3160;48229;3%;2%;6%
4.3.2020;95124;3254;51171;2%;3%;6%
5.3.2020;97886;3348;53797;3%;3%;5%
6.3.2020;101800;3460;55866;4%;3%;4%
7.3.2020;105836;3558;58359;4%;3%;4%
8.3.2020;109835;3803;60695;4%;7%;4%
9.3.2020;113582;3996;62512;3%;5%;3%
10.3.2020;118582;4262;64404;4%;7%;3%
11.3.2020;125865;4615;67003;6%;8%;4%
12.3.2020;128343;4720;68324;2%;2%;2%
13.3.2020;145193;5404;70251;13%;14%;3%
14.3.2020;156099;5819;72624;8%;8%;3%
15.3.2020;167447;6440;76034;7%;11%;5%
16.3.2020;181546;7126;78088;8%;11%;3%
17.3.2020;197168;7905;80840;9%;11%;4%
18.3.2020;214915;8733;83313;9%;10%;3%
19.3.2020;242713;9867;84962;13%;13%;2%
20.3.2020;272167;11299;87403;12%;15%;3%
21.3.2020;304549;12973;91676;12%;15%;5%
22.3.2020;337122;14623;97243;11%;13%;6%
23.3.2020;378283;16497;100958;12%;13%;4%
24.3.2020;417962;18615;107699;10%;13%;7%
25.3.2020;467594;21181;113764;12%;14%;6%
26.3.2020;529591;23970;122144;13%;13%;7%
27.3.2020;593291;27198;130909;12%;13%;7%
28.3.2020;660693;30652;139409;11%;13%;6%
29.3.2020;720140;33925;149076;9%;11%;7%
30.3.2020;782389;37582;164560;9%;11%;10%
31.3.2020;857487;42107;178028;10%;12%;8%
1.4.2020;932605;46809;193171;9%;11%;9%
2.4.2020;1013303;52983;210263;9%;13%;9%
3.4.2020;1095917;58787;225796;8%;11%;7%
4.4.2020;1197408;64606;246152;9%;10%;9%
5.4.2020;1272115;69374;260012;6%;7%;6%
6.4.2020;1345101;74565;276515;6%;7%;6%
7.4.2020;1426096;81865;300054;6%;10%;9%
8.4.2020;1511104;88338;328661;6%;8%;10%
9.4.2020;1595350;95455;353975;6%;8%;8%
10.4.2020;1691719;102525;376096;6%;7%;6%
11.4.2020;1771514;108502;402110;5%;6%;7%
12.4.2020;1846680;114089;421722;4%;5%;5%
13.4.2020;1917320;119482;448655;4%;5%;6%
14.4.2020;1976192;125984;474261;3%;5%;6%
15.4.2020;2056055;134177;511019;4%;7%;8%
16.4.2020;2152647;143801;542107;5%;7%;6%
17.4.2020;2240191;153822;568343;4%;7%;5%
18.4.2020;2317759;159510;592319;3%;4%;4%
19.4.2020;2401379;165044;623903;4%;3%;5%
20.4.2020;2472259;169986;645738;3%;3%;3%
21.4.2020;2549123;176583;679819;3%;4%;5%
22.4.2020;2623960;183066;709694;3%;4%;4%
23.4.2020;2708885;190858;738486;3%;4%;4%
24.4.2020;2810715;197151;793420;4%;3%;7%
25.4.2020;2896746;202846;816685;3%;3%;3%
26.4.2020;2971475;206544;865733;3%;2%;6%
27.4.2020;3041764;211167;893967;2%;2%;3%
28.4.2020;3116398;217153;928658;2%;3%;4%
29.4.2020;3193886;227638;972719;2%;5%;5%
30.4.2020;3256846;233388;1014753;2%;3%;4%
1.5.2020;3343777;238650;1053327;3%;2%;4%
;;;;;;
