date,confirmed,deaths,recovered
01-22-2020,555,17,28
01-23-2020,653,18,30
01-24-2020,941,26,36
01-25-2020,1438,42,39
01-26-2020,2118,56,52
01-27-2020,2927,82,61
01-28-2020,5578,131,107
01-29-2020,6165,133,126
01-30-2020,8235,171,143
01-31-2020,9925,213,222
02-01-2020,12038,259,284
02-02-2020,16787,362,472
02-03-2020,19881,426,623
02-04-2020,23892,492,852
02-05-2020,27636,564,1124
02-06-2020,30818,634,1487
02-07-2020,34392,719,2011
02-08-2020,37121,806,2616
02-09-2020,40151,906,3244
02-10-2020,42763,1013,3946
02-11-2020,44803,1113,4683
02-12-2020,45222,1118,5150
02-13-2020,60370,1371,6295
02-14-2020,66887,1523,8058
02-15-2020,69032,1666,9395
02-16-2020,71226,1770,10865
02-17-2020,73260,1868,12583
02-18-2020,75138,2007,14352
02-19-2020,75641,2122,16121
02-20-2020,76199,2247,18177
02-21-2020,76843,2251,18890
02-22-2020,78599,2458,22886
02-23-2020,78985,2469,23394
02-24-2020,79570,2629,25227
02-25-2020,80415,2708,27905
02-26-2020,81397,2770,30384
02-27-2020,82756,2814,33277
02-28-2020,84124,2872,36711
02-29-2020,86013,2941,39782
03-01-2020,88371,2996,42716
03-02-2020,90309,3085,45602
03-03-2020,92844,3160,48229
03-04-2020,95124,3254,51171
03-05-2020,97886,3348,53797
03-06-2020,101800,3460,55866
03-07-2020,105836,3558,58359
03-08-2020,109835,3803,60695
03-09-2020,113582,3996,62512
03-10-2020,118582,4262,64404
03-11-2020,125865,4615,67003
03-12-2020,128343,4720,68324
03-13-2020,145193,5404,70251
03-14-2020,156099,5819,72624
03-15-2020,167447,6440,76034
03-16-2020,181546,7126,78088
03-17-2020,197168,7905,80840
03-18-2020,214915,8733,83313
03-19-2020,242713,9867,84962
03-20-2020,272167,11299,87403
03-21-2020,304549,12973,91676
03-22-2020,337122,14623,97243
03-23-2020,378283,16497,100958
03-24-2020,417962,18615,107699
03-25-2020,467594,21181,113764
03-26-2020,529591,23970,122144
03-27-2020,593291,27198,130909
03-28-2020,660693,30652,139409
03-29-2020,720140,33925,149076
03-30-2020,782389,37582,164560
03-31-2020,857487,42107,178028
04-01-2020,932605,46809,193171
04-02-2020,1013303,52983,210263
04-03-2020,1095917,58787,225796
04-04-2020,1197408,64606,246152
04-05-2020,1272115,69374,260012
04-06-2020,1345101,74565,276515
04-07-2020,1426096,81865,300054
04-08-2020,1511104,88338,328661
04-09-2020,1595350,95455,353975
04-10-2020,1691719,102525,376096
04-11-2020,1771514,108502,402110
04-12-2020,1846680,114089,421722
04-13-2020,1917320,119482,448655
04-14-2020,1976192,125984,474261
04-15-2020,2056055,134177,511019
04-16-2020,2152647,143801,542107
04-17-2020,2240191,153822,568343
04-18-2020,2317759,159510,592319
04-19-2020,2401379,165044,623903
04-20-2020,2472259,169986,645738
04-21-2020,2549123,176583,679819
04-22-2020,2623960,183066,709694
04-23-2020,2708885,190858,738486
04-24-2020,2810715,197151,793420
04-25-2020,2896746,202846,816685
04-26-2020,2971475,206544,865733
04-27-2020,3041764,211167,893967
04-28-2020,3116398,217153,928658
04-29-2020,3193886,227638,972719
04-30-2020,3256846,233388,1014753
05-01-2020,3343777,238650,1053327
